Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Posted Date,Location Type,City,State,Extracted Skills
Data Scientist,137000,job title data scientist 100 remote location remote open to candidates with h1b gc or usc status experience level 9 years job type fulltime job description position overview as a data scientist at your company name you will play a critical role in designing and implementing advanced datadriven solutions you will work with a team of talented professionals in a 100 remote setup ensuring that our clients data is leveraged to its fullest potential to drive business success,3.9,Pashtek,"Arizona City, AZ",25,1992,Private,,,3000,04-05-2024,City,Arizona City,Arizona,"Machine Learning, Deep Learning, Data Visualization"
Data Scientist,110000,spalding consulting inc is seeking a data scientist at mcas cherry point at havelock nc spalding consulting inc is a professional services company delivering cuttingedge solutions to the department of defense since 2001 our expertlevel solutions include software development information technology program management financial management and business intelligence services spalding consulting offers competitive compensation career development flexible work schedules and excellent benefits position type fulltime come join our team as we support naval aviation at marine corps air station cherry point if you seek a dynamic work environment that challenges you to learn and grow in data analysis visualization ai and ml we have the opportunity for you must be eligible to obtain a secret clearance requirements to obtain a clearance include us citizenship security investigation etc bs or ba degree in engineering computer science information systems business mathematics statistics or relevant technical discipline preferred additional years of experience may replace degree requirements spalding consulting inc is committed to providing equal employment opportunities to all applicants and employees we will not discriminate against any employee or applicant on the basis of race color ethnic origin national origin creed religion political belief sex including pregnancy sexual orientation gender identity marital status age military status physical or mental disability or any other legally protected basis in accordance with applicable federal state or local laws spalding consulting inc is an affirmative actionequal opportunity employer and encourages minorities women disabled and veterans to apply for job openings within our company,4,Spalding Consulting Inc.,"Havelock, NC",350,2001,Private,Aerospace & Defense,Aerospace & Defense,62,02-07-2024,City,Havelock,North Carolina,"TensorFlow, Spark, AWS, ETL"
Data Scientist,148000,lawrence berkeley national laboratory has multiple openings for a data scientist in berkeley ca duties create develop and maintain a broad array of complex numerical models and programming scripts or tools in order to analyze challenging technical and energy policy issues demonstrate good judgment in selecting methods and techniques create manage and utilize complex databases with a diverse scope including technical and economic data identify meaningful insights from data investigate create and develop new methods and apply those concepts to energy use and lifecycle cost analysis contribute to federal register notices technical support documents and memos summarizing methods data sources results conclusions andor energy and economic implications develop presentations for public meetings manage multiple tasks under tight deadlines and uncertain schedules offer guidance and direction to more juniorlevel researchers,4.1,Lawrence Berkeley National Laboratory,"San Francisco, CA",3000,1931,Government,Research & Development,Management & Consulting,250500,01-06-2024,City,San Francisco,California,"Docker, AWS, Big Data, Power BI"
Data Scientist,88000,company description read this first if you have what it takes for this job but dont meet all the criteria within the job description we encourage you to apply wed like to connect with you to see what skills and experience you could bring to our team publicis media is one of publicis groupes four solution hubs aligning all of publicis groupes media agencies and operations publicis groupe euronext paris exchange fr0000130577 cac 40 index is the worlds third largest communications group the data technology and innovation global practice was created to deliver bestinclass programmatic solutions as well as to consolidate publicis medias data and technology to transform our business from a service business to a platform business,3.9,Publicis Media,"New York, NY",10000,1926,Public,Advertising & Public Relations,Media & Communication,7500,01-02-2024,City,New York,New York,"Big Data, Python, ETL"
Data Scientist,122000,introduction as a associate data scientist at ibm you will help transform our clients data into tangible business value by analyzing information communicating outcomes and collaborating on product development work with best in class open source and visual tools along with the most flexible and scalable deployment options whether its investigating patient trends or weather patterns you will work to solve real world problems for the industries transforming how we live your role and responsibilities you uncover the stories hidden in data and find patterns in the numbers as an associate data scientist youll put this skill to work to solve business problems by preparing analyzing and understanding data to deliver insight predict emerging trends and provide recommendations for better outcomes youll use a variety of data structured unstructured iot streaming analytics ai tools and programming languages often using a cloud infrastructure to handle the volume and veracity of data streams armed with data modeling expertise and analytic results as an associate data scientist youll formulate conclusions and recommendations to stakeholders in an organizations leadership structure leveraging strong consulting communication visualization and storytelling skills we have a number of positions open in these locations willingness to travel up to 100,3.9,Ibm,"Atlanta, GA",10000,1911,Public,Information Technology Support Services,Information Technology,10000,05-09-2024,City,Atlanta,Georgia,"Matplotlib, Machine Learning, TensorFlow"
Data Scientist,112000,3 years of domain experience in a consumer internet business or in a highvelocity highgrowth product or team expert sql skills and proficiency in pythonr experience using data to create insight and drive business results fluency in data analysis and communication around data including time series analysis experimentation data visualization and defining the kpi strategy for your business excellent team player with the ability to maintain relationships bachelors degree if you are interested in this position please apply on twitchs career site httpswwwtwitchtvjobsen launched in 2011 twitch is a global community that comes together each day to create multiplayer entertainment unique live unpredictable experiences created by the interactions of millions we bring the joy of coop to everything from casual gaming to worldclass esports to anime marathons music and art streams twitch also hosts twitchcon where we bring everyone together to celebrate and grow their personal interests and passions were always live at twitch as a data scientist analytics member of the data platform insights team youll provide data analysis and support for platform service and operational engineering teams at twitch shaping the way success is measured defining what questions should be asked and scaling analytics methods and tools to support our growing business additionally you will help support the vision for business analytics solutions architecture for data related business constructs as well as tactical execution such as experiment analysis and campaign performance reporting you are paving the way for highquality highvelocity decisions and will report to the manager data science for this role were looking for an experienced data staff who will oversee data instrumentation dashboardreport building metrics reviews inform team investments guidance on successfailure metrics and adhoc analysis you will also work with technical and nontechnical staff members throughout the company and your effort will have an impact on hundreds of partners at twitch we are open to hiring candidates to work out of one of the following locations irvine ca usa seattle wa usa virtual location ca we are an equal opportunity employer and value diversity at twitch we do not discriminate on the basis of race religion color national origin gender gender identity sexual orientation age marital status veteran status or disability status or other legally protected status pursuant to the los angeles fair chance ordinance we will consider for employment qualified applicants with arrest and conviction records pursuant to the san francisco fair chance ordinance we will consider for employment qualified applicants with arrest and conviction records our compensation reflects the cost of labor across several us geographic markets the base pay for this position ranges from 111600year in our lowest geographic market up to 212800year in our highest geographic market pay is based on a number of factors including market location and may vary depending on jobrelated knowledge skills and experience amazon is a total compensation company dependent on the position offered equity signon payments and other forms of compensation may be provided as part of a total compensation package in addition to a full range of medical financial andor other benefits for more information please visit httpswwwaboutamazoncomworkplaceemployeebenefits applicants should apply via our internal or external career site,3.7,Twitch Interactive Inc.,California,10000,1994,Public,Internet & Web Services,Information Technology,10000,03-04-2024,Town,Plano,Texas,"Data Cleaning, Hadoop, Spark"
Data Scientist,102000,our opportunity chewy is looking for data scientists to join our data science team in plantation fl boston ma and minneapolis mn the teams use analytical and statistical techniques to understand and serve the needs of our business processes developing datadriven solutions we are looking for data scientists who are committed to solving business problems using cutting edge technologies and developing datadriven marketing solutions as part of the data science team at chewy you will have the opportunity to provide structure to business problems for new and existing chewy customers by applying data science principles to design test implement and develop databased solutions including reporting auditing and preparing large databases for statistical analysis,3.5,Chewy,"Plantation, FL",10000,2011,Public,Pet & Pet Supplies Stores,Retail & Wholesale,15,12-05-2024,City,Plantation,Florida,"Azure, AWS, Natural Language Processing, Data Visualization"
Data Scientist,138000,no relocation assistance offered 154386 piscataway new jersey united states ready for a career that combines global collaboration continuous learning and positive impact at colgate we offer you the chance to be a part of something bigger than just a job our iconic brands sustainability commitment and innovative culture set the stage for an inspiring workplace we value creativity experimentation and authenticity driving our enduring success and building a future to smile about for our employees consumers and communities as a data scientist on our advanced analytics team youll shape colgates future by developing powerful data products implementing machine learning models and optimizing our data science architecture join our collaborative team of innovators and technologists your role lead advanced analytics projects for our global supply chain using your discernment and technical skills to generate insights that drive business decisions unlock a career that leaves you smiling every day at colgate,4.2,Colgate-Palmolive,"Piscataway, NJ",10000,1806,Public,Consumer Product Manufacturing,Manufacturing,10000,25-11-2023,City,Piscataway,New Jersey,"Power BI, Model Deployment, Azure"
Data Scientist,140000,roles responsibilities provides support of artificial intelligence ai to include machine learning to analyze data for accuracy authenticity expectancy timeliness relevancy intelligence gaps and viability identifies and develops innovative investigative statistical and predictive value of deas data holdings by evaluating through data analysis and integration interprets results from multiple sources using a variety of techniques ranging from simple data aggregation via statistical analysis to complex data mining prepares big data implements data models and develops databases to support the business solutions works on complex technical projects or business issues requiring state of the art technical or industry knowledge develops deploys and manages statistical unsupervised and supervised learning data models with accuracy precision and sensitivities performs mathematicalstatistician modeling to organize optimize model research mine and predict new data identifies accuracies precision and sensitivities validates machine learning with statistical modeling designs algorithms such as neural networks decision trees and surrogate models uses data lakes chunking large file shares or increased time limits for storage needs uses serverless computing like athenalambda to handle concurrency or increased time limits and uses extract transform load standard data formats or parsing due to lack of infrastructure,3.9,Ai Vantage,Remote,3000,1992,Public,,,3000,09-02-2024,Town,Plano,Texas,"Git, Data Cleaning, Power BI, Data Warehousing"
Data Scientist,122000,1,3.9,Unknown,Unknown,3000,1992,Unknown,,,3000,10-01-2024,Town,Houston,Texas,"Power BI, Model Deployment, Data Visualization"
Data Scientist,145000,you are a research scientist and engineer who wants to work in the areas of machine learning natural language processing information extraction graphical models summarization information retrieval recommend systems andor knowledge graphs you will bring new ideas evangelizing them and shepherding their adoption within the team you extract and identify relevant meaningful and actionable information from structured and unstructured data in realtime and provide advanced ways of accessing this data such as search summarization and recommendations what you will do proactively explore research describe and analyze data develop tools and strategies related to text analytics machine learning and semantic enrichment,3.5,Bloomberg Bna,"Washington, DC",3000,1929,Private,Publishing,Media & Communication,300,11-01-2024,City,Washington,DC,"Docker, Matplotlib, Data Warehousing, Snowflake"
Data Scientist,208000,about us were on a mission to make it possible for every person team and company to be able to tailor their software to solve any problem and take on any challenge computers may be our most powerful tools but most of us cant build or modify the software we use on them every day at notion we want to change this with focus design and craft weve been working on this together since 2016 and have customers like pixar mitsubishi figma plaid match group and thousands more on this journey with us today were growing fast and excited for new teammates to join us who are the best at what they do were passionate about building a company as diverse and creative as the millions of people notion reaches worldwide notion is an in person company and currently requires its employees to come to the office for two anchor days mondays thursdays and requests that employees spend the majority of their week in the office including a third day,4.8,Notion,"New York, NY",750,2016,Private,Enterprise Software & Network Solutions,Information Technology,3000,10-12-2024,City,New York,New York,"R, TensorFlow, Natural Language Processing, Excel"
Data Scientist,127000,job description zendesk is looking for a data scientist to join enterprise data analytics in the decision science group you will be a member of a small but mighty team tasked with the most complicated and exciting problems facing the business on any given day you may be exploring new datasets learning the intricacies of a business process building models perfecting visualizations or coordinating the operationalization of an asset youll work with a collaborative team where you will quickly develop wide exposure to different functions and best practices for applying data science in very human environments most importantly we build things that matter the insights we uncover and tools we develop immediately benefit our stakeholders we strive to fail fast and iterate quickly so that we make the biggest difference with our business partners the us annualized base salary range for this position is 1020000015200000 this position may also be eligible for bonus benefits or related incentives while this range reflects the minimum and maximum value for new hire salaries for the position across all us locations the offer for the successful candidate for this position will be based on job related capabilities applicable experience and other factors such as work location please note that the compensation details listed in us role postings reflect the base salary only or ote for commissions based roles and do not include bonus benefits or related incentives,3.6,Zendesk,Remote,3000,2007,Private,Enterprise Software & Network Solutions,Information Technology,3000,17-10-2023,Town,Dallas,Texas,"Cloud Computing, Model Deployment, Azure"
Data Scientist,135000,job location boston job description the procter gamble business service company is seeking a data scientist boston ma to develop new natural language processing nlp capabilities and apply them to projects including voice of consumer ecommerce ratings reviews social media consumer comments from primary research etc analyze verbatims for consumer complaints call center data innovation opportunity discovery qualitative consumer research and consumption evaluation for inmarket products build advanced largescale machine learning models to bring direct business impacts such as facilitating product developers and products researchers and market researchers to better understand consumers attitude towards products without needing to perform large scale consumer tests researching competitors to gain insight into their products and predicting emerging trends and topics using social media data communicate stateoftheart nlp techniques with other data scientists and business leaders utilize strong python and cloud computing skills along with tools such as pytorch or tensorflow to derive consumer related business insights local telecommuting permitted up to 3 days per week full time r000089048 experienced professionals job segmentation 12500000 14500000 year,4.1,Procter & Gamble,"Boston, MA",10000,1837,Public,Consumer Product Manufacturing,Manufacturing,10000,09-10-2023,City,Boston,Massachusetts,"Docker, Data Analysis, Data Visualization"
Data Scientist,62000,background donorsearch is the leading provider of prospect research solutions and aipowered technologies serving over 6800 nonprofit organizations across the us we are familyowned headquartered in maryland and have a rapidlygrowing remote workforce in every us timezone with our outstanding reputation and team of innovative professionals we seek someone to join us to expand our brand and make a lasting impact on the world at donorsearch we value innovation excellence growth collaboration and quality job summary,4,Donorsearch,Remote,25,1992,Public,Accounting & Tax,Financial Services,3000,13-03-2024,Town,Richardson,Texas,"Azure, Snowflake, Cloud Computing, R"
Data Scientist,122000,job description responsibilities project involves developing multiomics directed graph networks based on causal inference framework based on multiple data types eg clinical rnaseq epigenetic proteomic andor genetic data skills must be expert in at least one area of causal inference such as interpretable machine learning or data fusion problem eg to reduce space of plausible causal relationships and how data from multiple sources can be combined to make causal inferences experience with machine learning in the context of causal inference so that the predictive models are more than just a black box is strongly desired,3.7,Tellus Solutions,Remote,125,2006,Private,Information Technology Support Services,Information Technology,15,09-11-2023,Town,San Antonio,Texas,"Power BI, Git, Excel"
Data Scientist,118000,about us we are professional and agile our work environment includes modern office setting food provided responsibilities utilize data mining techniques to extract insights and patterns from large datasets develop and implement algorithms and models for predictive analytics collaborate with crossfunctional teams to identify business problems and provide datadriven solutions conduct statistical analysis and hypothesis testing to support decisionmaking processes create data visualizations and reports to communicate findings to stakeholders stay uptodate with the latest advancements in data science and analytics,3.9,Helix Tech It Solution,"Chapel Hill, NC",3000,1992,Unknown,,,3000,22-08-2023,City,Chapel Hill,North Carolina,"Matplotlib, AWS, TensorFlow, Natural Language Processing"
Data Scientist,138000,requisition id 377004 work area information technology expected travel 0 career status professional employment type regular full time career level t2 original posting date 71723 recruiter name jl andal additional locations original posting date 7172023 data scientist,4.4,Sap,"Palo Alto, CA",10000,1972,Public,Enterprise Software & Network Solutions,Information Technology,10000,29-02-2024,City,Palo Alto,California,"PyTorch, ETL, Data Visualization, Machine Learning"
Data Scientist,115000,at fulcrum we provide cuttingedge data science consulting and software solutions to help companies solve challenging business problems through the utilization of our innovative products and dedicated team clients are able to operate more efficiently manage risk and make informed business decisions every day fulcrum analytics has stood at the forefront of data analytics and innovative software for over 25 years offering sophisticated solutions groundbreaking technologies and winning strategies that help companies achieve their targeted results role description the data scientist role is expected to develop analytical statistical and machine learning solutions to client business problems the data scientist will have a number of responsibilities including,3.9,Fulcrum Analytics,Remote,3000,1992,Unknown,,,3000,06-11-2024,Town,Frisco,Texas,"Snowflake, Machine Learning, Deep Learning, Excel"
Data Scientist,100000,we are looking for junior midlevel or seniorlevel data scientists with the following demonstrated software development experience with python in a unix environment practical knowledge in python machine learning and data visualization practical knowledge in data etl such as working with data loading from sql csv json excel etc web scraping beautiful soup scrapy etc and data wranglingcleaning experience using the unix command line proficiency in statistical packages using any of the following python r stata spss etc,3.9,Tech Brothers Infoservices,Remote,3000,1992,Public,,,3000,02-06-2024,Town,San Antonio,Texas,"Data Warehousing, PyTorch, ETL"
Data Scientist,131000,morrison foerster llp an am law 50 law firm with 18 offices worldwide has an opening for a data scientist within our information technology department in our austin boston denver los angeles miami new york palo alto san diego san francisco washington dc office the opportunity guided by department and firmwide objectives and priorities and under the direction of the director of data science analytics participates in and contributes to improving firm strategy delivery of legal services and operations using data science tools and techniques partners with the director to develop and gain buyin for the program strategy identifying the individuals resources and tools necessary to accomplish the strategy ensures execution and ongoing operations of same along with the director functions as a thought leader within the firm and possesses substantial data science experience in a variety of industries and scenarios ensures client service and satisfaction are attained in all areas of position,3.9,Morrison & Foerster,United States,3000,1883,Private Practice / Firm,Legal,Legal,3000,17-08-2024,Town,Dallas,Texas,"Big Data, Excel, SQL, Matplotlib"
Data Scientist,162000,about us at parafin our mission is to grow small businesses small businesses are the backbone of our economy yet banks do not have their back parafin is a technology company that builds infrastructure which enables small businesses to get easy access to financial services via platforms they sell on parafins first product offers capitalasaservice for online platforms parafin currently powers the capital programs of platforms ranging from series b to postipo companies such as doordash amazon and worldpay we are a tightknit team of engineers and designers coming from organizations such as stripe square plaid coinbase robinhood affirm uber and cern and are excited both about helping hundreds of thousands of small businesses grow and thrive and building products that leaders at top companies have started to use every day we are backed by prominent venture capitalists such as ribbit capital thrive capital gic index ventures green oaks capital and sv angel,4.7,Parafin,"San Francisco, CA",125,2020,Private,Financial Transaction Processing,Financial Services,3000,11-02-2024,City,San Francisco,California,"Snowflake, Git, TensorFlow"
Data Scientist,161000,about pinterest millions of people across the world come to pinterest to find new ideas every day its where they get inspiration dream about new possibilities and plan for what matters most our mission is to help those people find their inspiration and create a life they love in your role youll be challenged to take on work that upholds this mission and pushes pinterest forward youll grow as a person and leader in your field all the while helping pinners make their lives better in the positive corner of the internet creating a life you love also means finding a career that celebrates the unique perspectives and experiences that you bring as you read through the expectations of the position consider how your skills and experiences may complement the responsibilities of the role we encourage you to think through your relevant and transferable skills from prior experiences,3.8,Pinterest,"San Francisco, CA",3000,2010,Public,Internet & Web Services,Information Technology,300,03-08-2024,City,San Francisco,California,"Spark, Tableau, Python"
Data Scientist,122000,data scientist as a data scientist youll have the unique opportunity to shape the future of recommendation systems and make a significant impact on a dynamic startup remote kyiv london limassol tbilisi are you ready to bring your data science experience to the next level as a data scientist specializing in machine learning youll play a crucial role in developing and implementing cuttingedge recommendation algorithms your expertise will help drive user engagement enhance customer experiences and contribute to the growth of the company youll work closely with a talented crossfunctional team to turn data into actionable insights that drive our recommendation platforms forward,5,Gamingtec,Remote,125,2013,Private,,,15,01-10-2024,Town,Houston,Texas,"SQL, AWS, Matplotlib"
Data Scientist,122000,summary posted sep 14 2023 role number200503288 do you thrive on working at analyzing stateoftheart deep learning algorithms do you have a passion for constructing automation pipelines are you highly organized and meticulous as part of our video engineering group youll help deliver creative solutions to various problems that could impact the people all over the world our data scientist will work closely with other members of the video engineering group to mine data implement model evaluation pipeline analyze large scale data visualize data and ensure the delivery is of the highest quality this position will also require strong coding skills presentation skills and collaborating with multiple teams ex machine learning cloud infrastructure support,4.2,Apple,"Cupertino, CA",10000,1976,Public,Computer Hardware Development,Information Technology,10000,08-07-2024,City,Cupertino,California,"Azure, Tableau, PyTorch"
